Date,FG_Index,FG_Classification
2016-01-01,50,Neutral
2016-01-04,50,Neutral
2016-01-05,51,Neutral
2016-01-06,53,Neutral
2016-01-07,53,Neutral
2016-01-08,53,Neutral
2016-01-11,55,Neutral
2016-01-12,56,Greed
2016-01-13,55,Neutral
2016-01-14,56,Greed
2016-01-15,56,Greed
2016-01-18,55,Neutral
2016-01-19,55,Neutral
2016-01-20,52,Neutral
2016-01-21,50,Neutral
2016-01-22,49,Neutral
2016-01-25,47,Neutral
2016-01-26,48,Neutral
2016-01-27,46,Neutral
2016-01-28,44,Fear
2016-01-29,47,Neutral
2016-02-01,46,Neutral
2016-02-02,46,Neutral
2016-02-03,44,Fear
2016-02-04,43,Fear
2016-02-05,44,Fear
2016-02-08,42,Fear
2016-02-09,42,Fear
2016-02-10,41,Fear
2016-02-11,41,Fear
2016-02-12,40,Fear
2016-02-15,43,Fear
2016-02-16,43,Fear
2016-02-17,41,Fear
2016-02-18,43,Fear
2016-02-19,41,Fear
2016-02-22,41,Fear
2016-02-23,38,Fear
2016-02-24,36,Fear
2016-02-25,36,Fear
2016-02-26,37,Fear
2016-02-29,38,Fear
2016-03-01,38,Fear
2016-03-02,37,Fear
2016-03-03,35,Fear
2016-03-04,34,Fear
2016-03-07,33,Fear
2016-03-08,35,Fear
2016-03-09,35,Fear
2016-03-10,33,Fear
2016-03-11,33,Fear
2016-03-14,32,Fear
2016-03-15,31,Fear
2016-03-16,32,Fear
2016-03-17,34,Fear
2016-03-18,35,Fear
2016-03-21,34,Fear
2016-03-22,34,Fear
2016-03-23,34,Fear
2016-03-24,36,Fear
2016-03-25,35,Fear
2016-03-28,35,Fear
2016-03-29,33,Fear
2016-03-30,31,Fear
2016-03-31,32,Fear
2016-04-01,34,Fear
2016-04-04,34,Fear
2016-04-05,36,Fear
2016-04-06,36,Fear
2016-04-07,35,Fear
2016-04-08,36,Fear
2016-04-11,38,Fear
2016-04-12,38,Fear
2016-04-13,40,Fear
2016-04-14,37,Fear
2016-04-15,38,Fear
2016-04-18,38,Fear
2016-04-19,37,Fear
2016-04-20,38,Fear
2016-04-21,35,Fear
2016-04-22,34,Fear
2016-04-25,35,Fear
2016-04-26,37,Fear
2016-04-27,36,Fear
2016-04-28,35,Fear
2016-04-29,34,Fear
2016-05-02,36,Fear
2016-05-03,36,Fear
2016-05-04,35,Fear
2016-05-05,36,Fear
2016-05-06,36,Fear
2016-05-09,38,Fear
2016-05-10,37,Fear
2016-05-11,36,Fear
2016-05-12,36,Fear
2016-05-13,33,Fear
2016-05-16,34,Fear
2016-05-17,34,Fear
2016-05-18,34,Fear
2016-05-19,34,Fear
2016-05-20,32,Fear
2016-05-23,31,Fear
2016-05-24,31,Fear
2016-05-25,29,Fear
2016-05-26,29,Fear
2016-05-27,30,Fear
2016-05-30,33,Fear
2016-05-31,33,Fear
2016-06-01,33,Fear
2016-06-02,33,Fear
2016-06-03,30,Fear
