Date,share market,NIFTY,NSE India,stock market India,BSE
2016-01-04,41,70,20,73,67
2016-01-11,25,34,39,59,65
2016-01-18,47,23,42,67,69
2016-01-25,32,64,68,49,39
2016-02-01,46,70,33,44,22
2016-02-08,65,68,79,38,48
2016-02-15,36,37,74,61,72
2016-02-22,69,56,35,78,45
2016-02-29,33,43,55,37,65
2016-03-07,54,29,35,37,72
2016-03-14,32,35,52,31,28
2016-03-21,31,45,72,25,39
2016-03-28,75,32,38,36,65
2016-04-04,72,33,77,29,37
2016-04-11,43,62,47,52,48
2016-04-18,70,24,28,46,53
2016-04-25,70,41,21,25,63
2016-05-02,51,42,27,32,69
2016-05-09,79,45,29,47,62
2016-05-16,70,49,60,28,31
2016-05-23,50,76,77,28,74
2016-05-30,41,56,62,78,30
2016-06-06,75,53,63,25,78
2016-06-13,31,41,76,66,68
2016-06-20,22,27,71,34,23
2016-06-27,40,51,64,47,45
2016-07-04,71,77,71,43,34
2016-07-11,39,34,55,32,53
2016-07-18,76,40,41,69,61
2016-07-25,38,21,69,22,70
2016-08-01,56,47,68,64,32
2016-08-08,74,46,21,62,58
2016-08-15,29,32,71,22,32
2016-08-22,71,34,66,78,21
2016-08-29,43,30,67,73,22
2016-09-05,28,34,40,57,22
2016-09-12,43,63,44,44,67
2016-09-19,42,29,29,47,67
2016-09-26,35,45,73,52,60
2016-10-03,21,25,38,34,41
2016-10-10,53,20,32,32,36
2016-10-17,22,33,75,38,33
2016-10-24,44,74,24,24,22
2016-10-31,44,46,72,50,33
2016-11-07,56,63,68,34,77
2016-11-14,60,66,20,41,30
2016-11-21,37,45,59,36,39
2016-11-28,56,54,34,43,66
2016-12-05,49,76,78,44,66
2016-12-12,57,56,56,61,28
2016-12-19,79,27,63,64,41
2016-12-26,52,78,21,51,34
2017-01-02,56,31,45,27,39
2017-01-09,58,60,45,57,48
2017-01-16,49,66,70,77,27
2017-01-23,75,44,77,74,68
2017-01-30,78,79,44,74,44
2017-02-06,72,46,75,29,20
2017-02-13,33,43,48,49,66
2017-02-20,71,66,52,70,79
2017-02-27,58,42,75,36,49
2017-03-06,77,39,55,65,57
2017-03-13,60,24,46,66,45
2017-03-20,35,34,75,77,23
2017-03-27,64,53,78,60,75
2017-04-03,49,38,44,51,77
2017-04-10,47,23,59,43,24
2017-04-17,30,49,26,74,68
2017-04-24,39,68,25,60,78
2017-05-01,38,58,24,35,34
2017-05-08,64,37,20,35,35
2017-05-15,37,75,31,35,30
2017-05-22,32,20,55,31,24
2017-05-29,40,35,79,78,52
2017-06-05,47,25,20,30,40
2017-06-12,63,59,27,69,79
2017-06-19,22,33,28,64,26
2017-06-26,79,56,32,55,55
2017-07-03,79,41,77,59,49
2017-07-10,32,32,62,59,61
2017-07-17,43,39,34,78,79
2017-07-24,52,71,64,37,74
2017-07-31,39,40,24,28,56
2017-08-07,38,68,25,41,22
2017-08-14,79,40,77,25,44
2017-08-21,46,69,63,62,63
2017-08-28,69,76,63,58,60
2017-09-04,63,50,37,37,27
2017-09-11,57,67,72,29,52
2017-09-18,25,79,69,53,47
2017-09-25,65,79,57,76,48
2017-10-02,67,35,48,72,64
2017-10-09,70,35,69,72,65
2017-10-16,57,79,65,28,52
2017-10-23,38,22,45,37,46
2017-10-30,64,40,24,63,44
2017-11-06,54,62,27,47,37
2017-11-13,44,36,27,68,40
2017-11-20,70,54,76,75,27
2017-11-27,64,49,41,23,62
2017-12-04,38,68,48,73,25
2017-12-11,60,52,35,74,37
2017-12-18,37,31,28,31,35
2017-12-25,61,77,45,43,57
2018-01-01,48,73,53,68,56
2018-01-08,67,58,72,57,33
2018-01-15,69,78,56,70,40
2018-01-22,40,72,45,59,65
2018-01-29,34,47,30,56,46
2018-02-05,56,35,71,50,77
2018-02-12,75,60,31,68,37
2018-02-19,50,42,29,33,44
2018-02-26,49,70,42,73,20
2018-03-05,22,73,52,35,68
2018-03-12,77,28,50,68,67
2018-03-19,42,56,26,27,69
2018-03-26,43,70,46,28,25
2018-04-02,22,79,41,70,24
2018-04-09,70,45,66,53,46
2018-04-16,36,76,72,54,64
2018-04-23,31,71,24,60,46
2018-04-30,74,66,25,64,36
2018-05-07,60,65,68,29,69
2018-05-14,36,31,53,22,54
2018-05-21,24,21,31,25,23
2018-05-28,55,74,76,23,23
2018-06-04,52,34,52,64,59
2018-06-11,46,79,60,32,77
2018-06-18,53,30,27,65,52
2018-06-25,35,36,25,66,50
2018-07-02,79,71,55,74,47
2018-07-09,51,26,41,42,30
2018-07-16,25,69,23,56,32
2018-07-23,72,26,59,45,66
2018-07-30,31,47,20,33,77
2018-08-06,32,61,46,64,21
2018-08-13,32,70,50,45,66
2018-08-20,45,49,75,57,32
2018-08-27,30,39,22,44,48
2018-09-03,40,39,25,41,66
2018-09-10,26,29,73,45,21
2018-09-17,26,22,43,30,42
2018-09-24,72,52,67,72,54
2018-10-01,67,45,35,71,51
2018-10-08,70,27,27,71,51
2018-10-15,71,31,45,47,26
2018-10-22,31,70,38,22,21
2018-10-29,74,41,54,36,28
2018-11-05,26,66,38,72,36
2018-11-12,40,66,67,51,63
2018-11-19,52,32,55,30,69
2018-11-26,47,53,26,69,21
2018-12-03,36,58,38,26,52
2018-12-10,75,38,46,77,43
2018-12-17,42,74,70,77,63
2018-12-24,44,35,36,35,37
2018-12-31,73,37,55,37,54
2019-01-07,52,28,55,48,42
2019-01-14,61,54,42,71,24
2019-01-21,60,71,62,79,70
2019-01-28,31,33,65,58,75
2019-02-04,50,28,32,39,61
2019-02-11,53,38,34,54,77
2019-02-18,65,79,35,71,75
2019-02-25,54,28,61,68,48
2019-03-04,59,45,33,52,65
2019-03-11,69,34,34,28,47
2019-03-18,44,46,42,30,42
2019-03-25,78,67,74,25,28
2019-04-01,51,78,28,42,32
2019-04-08,61,64,31,48,50
2019-04-15,64,22,43,21,77
2019-04-22,49,57,55,42,42
2019-04-29,59,45,70,47,35
2019-05-06,73,35,75,42,38
2019-05-13,74,77,60,54,55
2019-05-20,59,38,38,76,54
2019-05-27,56,28,60,43,60
2019-06-03,71,30,72,44,23
2019-06-10,26,37,61,47,61
2019-06-17,44,66,57,46,54
2019-06-24,54,38,46,63,79
2019-07-01,64,22,45,22,43
2019-07-08,38,57,78,58,53
