Date,stock market,S&P 500,invest stocks,market crash,bull market
2016-01-04,58,44,70,41,53
2016-01-11,71,77,53,47,31
2016-01-18,48,41,71,59,61
2016-01-25,34,77,76,68,28
2016-02-01,62,77,57,26,34
2016-02-08,27,41,52,20,59
2016-02-15,40,68,43,51,44
2016-02-22,58,71,34,32,24
2016-02-29,77,61,79,49,30
2016-03-07,38,25,49,42,78
2016-03-14,42,34,74,70,53
2016-03-21,30,73,61,78,43
2016-03-28,30,62,70,75,79
2016-04-04,43,79,36,38,34
2016-04-11,72,56,24,51,57
2016-04-18,55,52,48,49,27
2016-04-25,59,27,23,48,78
2016-05-02,43,72,29,68,24
2016-05-09,22,79,75,64,67
2016-05-16,41,63,36,48,45
2016-05-23,72,63,29,49,37
2016-05-30,21,24,36,35,25
2016-06-06,43,58,79,59,56
2016-06-13,63,23,39,38,79
2016-06-20,49,25,43,37,67
2016-06-27,57,64,24,20,32
2016-07-04,21,51,53,33,47
2016-07-11,79,71,25,70,24
2016-07-18,40,49,72,66,32
2016-07-25,52,66,21,69,36
2016-08-01,31,54,32,21,69
2016-08-08,77,74,62,73,59
2016-08-15,41,59,62,47,64
2016-08-22,63,71,67,68,51
2016-08-29,44,35,30,69,48
2016-09-05,68,32,70,49,70
2016-09-12,46,69,66,57,77
2016-09-19,78,79,76,70,22
2016-09-26,61,61,42,23,75
2016-10-03,47,49,74,20,59
2016-10-10,79,38,35,27,53
2016-10-17,35,36,50,48,59
2016-10-24,34,75,30,74,46
2016-10-31,66,38,73,58,32
2016-11-07,70,47,35,22,64
2016-11-14,63,77,27,51,52
2016-11-21,74,74,23,29,25
2016-11-28,71,45,59,29,43
2016-12-05,76,56,23,38,38
2016-12-12,22,45,75,65,35
2016-12-19,56,72,44,53,59
2016-12-26,70,42,22,79,47
2017-01-02,26,28,51,52,52
2017-01-09,40,31,22,42,78
2017-01-16,28,72,46,74,78
2017-01-23,58,20,48,47,67
2017-01-30,37,77,51,51,60
2017-02-06,23,77,69,69,32
2017-02-13,44,20,77,26,62
2017-02-20,79,66,70,48,64
2017-02-27,33,53,38,27,44
2017-03-06,69,51,40,20,72
2017-03-13,77,73,24,76,61
2017-03-20,28,67,37,74,55
2017-03-27,45,44,47,22,46
2017-04-03,72,59,61,43,57
2017-04-10,21,64,41,42,79
2017-04-17,39,72,40,78,26
2017-04-24,47,20,25,27,24
2017-05-01,66,35,20,73,62
2017-05-08,79,58,24,76,64
2017-05-15,26,24,60,66,77
2017-05-22,63,41,31,56,76
2017-05-29,27,48,45,22,70
2017-06-05,66,74,65,70,50
2017-06-12,54,22,53,52,42
2017-06-19,33,31,68,47,61
2017-06-26,36,45,33,66,29
2017-07-03,55,35,45,27,51
2017-07-10,69,70,64,53,62
2017-07-17,59,56,46,54,72
2017-07-24,23,41,28,51,49
2017-07-31,21,76,45,43,58
2017-08-07,25,48,76,33,50
2017-08-14,73,33,66,51,37
2017-08-21,61,47,76,75,55
2017-08-28,23,24,41,65,21
2017-09-04,73,66,66,62,33
2017-09-11,48,68,75,35,32
2017-09-18,37,49,49,23,48
2017-09-25,45,65,62,71,31
2017-10-02,63,71,67,56,58
2017-10-09,53,24,36,73,21
2017-10-16,29,31,45,40,51
2017-10-23,55,35,55,33,32
2017-10-30,33,45,20,50,65
2017-11-06,50,45,27,74,46
2017-11-13,67,67,68,67,68
2017-11-20,34,40,54,37,60
2017-11-27,27,58,71,26,36
2017-12-04,33,55,34,29,59
2017-12-11,42,52,66,26,50
2017-12-18,79,49,75,52,53
2017-12-25,76,56,41,42,79
2018-01-01,59,42,33,40,43
2018-01-08,40,77,45,38,64
2018-01-15,35,29,47,67,54
2018-01-22,64,73,42,38,67
2018-01-29,37,24,33,55,25
2018-02-05,66,55,43,48,38
2018-02-12,72,53,21,79,49
2018-02-19,43,71,64,37,26
2018-02-26,45,50,45,21,29
2018-03-05,44,29,33,20,60
